REFERENCE;type de bijoux;description;image;couleur;TITRE;POIDS OR;type de pierres;Poids pierre;tailles disponibles;quantité_ par_ taille;price_euros;stock;fabrication_possible;evenement
SAR02532;bague;alliance;;YG;9;1,98;;0,090;48,50,52,54,56,58,234;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR02543;bague;alliance;;YG;9;2,04;;0,090;48,50,52,54,56,58,235;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24452;bague;alliance;;YG;9;0,98;;0,040;48,50,52,54,56,58,236;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24454;bague;alliance;;YG;9;0,80;;0,060;48,50,52,54,56,58,237;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24530;bague;alliance;;YG;9;1,20;;0,032;48,50,52,54,56,58,238;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24531;bague;alliance;;YG;9;1,16;;0,028;48,50,52,54,56,58,239;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24554;bague;alliance;;YG;9;1,60;;0,040;48,50,52,54,56,58,240;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24559;bague;alliance;;YG;9;1,10;;0,030;48,50,52,54,56,58,241;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24562;bague;alliance;;YG;9;1,12;;0,027;48,50,52,54,56,58,242;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24645;bague;alliance;;YG;9;0,72;;0,030;48,50,52,54,56,58,243;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24696;bague;alliance;;YG;9;1,53;;0,007;48,50,52,54,56,58,244;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24698;bague;alliance;;YG;9;1,30;;0,009;48,50,52,54,56,58,245;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24706;bague;alliance;;YG;9;1,05;;0,020;48,50,52,54,56,58,246;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24707;bague;alliance;;YG;9;1,00;;0,008;48,50,52,54,56,58,247;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24710;bague;alliance;;YG;9;0,85;;0,040;48,50,52,54,56,58,248;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24712;bague;alliance;;YG;9;0,87;;0,060;48,50,52,54,56,58,249;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24715;bague;alliance;;YG;9;0,92;;0,014;48,50,52,54,56,58,250;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24721;bague;alliance;;YG;9;1,04;;0,020;48,50,52,54,56,58,251;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24723;bague;alliance;;YG;9;1,02;;0,030;48,50,52,54,56,58,252;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24726;bague;alliance;;YG;9;0,82;;0,016;48,50,52,54,56,58,253;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24733;bague;alliance;;YG;9;0,76;;0,020;48,50,52,54,56,58,254;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24738;bague;alliance;;YG;9;1,04;;0,040;48,50,52,54,56,58,255;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24746;bague;alliance;;YG;9;0,97;;0,030;48,50,52,54,56,58,256;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24751;bague;alliance;;YG;9;1,30;;0,010;48,50,52,54,56,58,257;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24761;bague;alliance;;YG;9;1,18;;0,053;48,50,52,54,56,58,258;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24764;bague;alliance;;YG;9;1,15;;0,050;48,50,52,54,56,58,259;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24765;bague;alliance;;YG;9;0,95;;0,020;48,50,52,54,56,58,260;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24783;bague;alliance;;YG;9;1,10;;0,015;48,50,52,54,56,58,261;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24792;bague;alliance;;YG;9;0,88;;0,050;48,50,52,54,56,58,262;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24794;bague;alliance;;YG;9;1,15;;0,017;48,50,52,54,56,58,263;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24802;bague;alliance;;YG;9;0,85;;0,014;48,50,52,54,56,58,264;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24865;bague;alliance;;YG;9;1,27;;0,020;48,50,52,54,56,58,265;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR24868;bague;alliance;;YG;9;1,62;;0,070;48,50,52,54,56,58,266;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR25208;bague;alliance;;YG;9;2,12;;0,150;48,50,52,54,56,58,267;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR25267;bague;alliance;;YG;9;1,07;;0,083;48,50,52,54,56,58,268;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR25280;bague;alliance;;YG;9;1,20;;0,051;48,50,52,54,56,58,269;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR25284;bague;alliance;;YG;9;1,10;;0,110;48,50,52,54,56,58,270;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR25321;bague;alliance;;YG;9;1,15;;0,070;48,50,52,54,56,58,271;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR25394;bague;alliance;;YG;9;1,89;;0,020;48,50,52,54,56,58,272;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR25676;bague;alliance;;YG;9;1,82;;0,100;48,50,52,54,56,58,273;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR25677;bague;alliance;;YG;9;2,36;;0,012;48,50,52,54,56,58,274;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26001;bague;alliance;;YG;9;1,35;;0,080;48,50,52,54,56,58,275;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26003;bague;alliance;;YG;9;1,25;;0,090;48,50,52,54,56,58,276;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26004;bague;alliance;;YG;9;1,14;;0,090;48,50,52,54,56,58,277;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26006;bague;alliance;;YG;9;1,60;;0,100;48,50,52,54,56,58,278;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26010;bague;alliance;;YG;9;1,25;;0,090;48,50,52,54,56,58,279;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26011;bague;alliance;;YG;9;1,40;;0,090;48,50,52,54,56,58,280;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26029;bague;alliance;;YG;9;0,95;;0,020;48,50,52,54,56,58,281;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26032;bague;alliance;;YG;9;0,95;;0,022;48,50,52,54,56,58,282;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26033;bague;alliance;;YG;9;1,35;;0,004;48,50,52,54,56,58,283;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26040;bague;alliance;;YG;9;0,98;;0,070;48,50,52,54,56,58,284;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26041;bague;alliance;;YG;9;0,95;;0,030;48,50,52,54,56,58,285;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26066;bague;alliance;;YG;9;1,35;;0,130;48,50,52,54,56,58,286;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26067;bague;alliance;;YG;9;1,10;;0,050;48,50,52,54,56,58,287;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26069;bague;alliance;;YG;9;1,65;;0,009;48,50,52,54,56,58,288;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26114;bague;alliance;;YG;9;1,45;;0,059;48,50,52,54,56,58,289;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26132;bague;alliance;;YG;9;1,50;;0,005;48,50,52,54,56,58,290;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26323;bague;alliance;;YG;9;1,35;;0,100;48,50,52,54,56,58,291;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26329;bague;alliance;;YG;9;1,75;;0,080;48,50,52,54,56,58,292;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26360;bague;alliance;;YG;9;1,25;;0,110;48,50,52,54,56,58,293;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26411;bague;alliance;;YG;9;1,20;;0,090;48,50,52,54,56,58,294;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26413;bague;alliance;;YG;9;1,55;;0,088;48,50,52,54,56,58,295;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26414;bague;alliance;;YG;9;1,70;;0,060;48,50,52,54,56,58,296;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26440;bague;alliance;;YG;9;1,15;;0,040;48,50,52,54,56,58,297;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26444;bague;alliance;;YG;9;1,20;;0,070;48,50,52,54,56,58,298;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26446;bague;alliance;;YG;9;0,90;;0,030;48,50,52,54,56,58,299;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26451;bague;alliance;;YG;9;0,90;;0,020;48,50,52,54,56,58,300;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26476;bague;alliance;;YG;9;0,88;;0,050;48,50,52,54,56,58,301;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26481;bague;alliance;;YG;9;1,80;;0,030;48,50,52,54,56,58,302;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26496;bague;alliance;;YG;9;1,12;;0,033;48,50,52,54,56,58,303;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26497;bague;alliance;;YG;9;1,20;;0,022;48,50,52,54,56,58,304;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26500;bague;alliance;;YG;9;1,70;;0,060;48,50,52,54,56,58,305;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26501;bague;alliance;;YG;9;1,30;;0,033;48,50,52,54,56,58,306;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26507;bague;alliance;;YG;9;1,68;;0,066;48,50,52,54,56,58,307;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26508;bague;alliance;;YG;9;1,40;;0,009;48,50,52,54,56,58,308;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26530;bague;alliance;;YG;9;1,00;;0,021;48,50,52,54,56,58,309;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26566;bague;alliance;;YG;9;1,02;;0,025;48,50,52,54,56,58,310;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26581;bague;alliance;;YG;9;1,70;;0,120;48,50,52,54,56,58,311;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26588;bague;alliance;;2T;9;1,95;;0,120;48,50,52,54,56,58,312;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26590;bague;alliance;;YG;9;1,05;;0,030;48,50,52,54,56,58,313;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26619;bague;alliance;;YG;9;1,28;;0,140;48,50,52,54,56,58,314;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26624;bague;alliance;;YG;9;2,40;;0,119;48,50,52,54,56,58,315;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26628;bague;alliance;;YG;9;1,80;;0,103;48,50,52,54,56,58,316;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26632;bague;alliance;;YG;9;0,69;;0,030;48,50,52,54,56,58,317;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26640;bague;alliance;;YG;9;1,30;;0,100;48,50,52,54,56,58,318;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26643;bague;alliance;;YG;9;1,30;;0,102;48,50,52,54,56,58,319;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26645;bague;alliance;;YG;9;0,90;;0,025;48,50,52,54,56,58,320;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26649;bague;alliance;;YG;9;1,25;;0,028;48,50,52,54,56,58,321;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26654;bague;alliance;;3T;9;2,65;;0,210;48,50,52,54,56,58,322;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26731;bague;alliance;;YG;9;1,97;;0,100;48,50,52,54,56,58,323;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26918;bague;alliance;;YG;9;1,10;;0,101;48,50,52,54,56,58,324;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26935;bague;alliance;;YG;9;1,10;;0,040;48,50,52,54,56,58,325;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR26958;bague;alliance;;YG;9;1,25;;0,040;48,50,52,54,56,58,326;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27011;bague;alliance;;YG;9;0,92;;0,010;48,50,52,54,56,58,327;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27021;bague;alliance;;YG;9;0,92;;0,036;48,50,52,54,56,58,328;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27444;bague;alliance;;YG;9;1,32;;0,027;48,50,52,54,56,58,329;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27520;bague;alliance;;YG;9;1,45;;0,110;48,50,52,54,56,58,330;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27524;bague;alliance;;YG;9;1,30;;0,060;48,50,52,54,56,58,331;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27531;bague;alliance;;YG;9;0,98;;0,014;48,50,52,54,56,58,332;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27532;bague;alliance;;YG;9;1,20;;0,033;48,50,52,54,56,58,333;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27534;bague;alliance;;YG;9;1,10;;0,050;48,50,52,54,56,58,334;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27571;bague;alliance;;YG;9;1,15;;0,014;48,50,52,54,56,58,335;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27581;bague;alliance;;YG;9;1,30;;0,060;48,50,52,54,56,58,336;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27583;bague;alliance;;YG;9;2,05;;0,030;48,50,52,54,56,58,337;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27591;bague;alliance;;YG;9;1,40;;0,070;48,50,52,54,56,58,338;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27593;bague;alliance;;YG;9;1,40;;0,068;48,50,52,54,56,58,339;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27595;bague;alliance;;YG;9;1,45;;0,040;48,50,52,54,56,58,340;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27597;bague;alliance;;YG;9;1,65;;0,040;48,50,52,54,56,58,341;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27600;bague;alliance;;YG;9;1,10;;0,029;48,50,52,54,56,58,342;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27604;bague;alliance;;YG;9;1,52;;0,050;48,50,52,54,56,58,343;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27605;bague;alliance;;YG;9;1,35;;0,046;48,50,52,54,56,58,344;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27606;bague;alliance;;YG;9;1,15;;0,033;48,50,52,54,56,58,345;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27608;bague;alliance;;YG;9;1,75;;0,069;48,50,52,54,56,58,346;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27611;bague;alliance;;YG;9;1,20;;0,005;48,50,52,54,56,58,347;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27747;bague;alliance;;YG;9;2,75;;0,090;48,50,52,54,56,58,348;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27760;bague;alliance;;YG;9;0,98;;0,004;48,50,52,54,56,58,349;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27783;bague;alliance;;YG;9;1,55;;0,015;48,50,52,54,56,58,350;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27789;bague;alliance;;YG;9;1,28;;0,013;48,50,52,54,56,58,351;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27798;bague;alliance;;3T;9;2,15;;0,040;48,50,52,54,56,58,352;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27802;bague;alliance;;YG;9;0,85;;0,030;48,50,52,54,56,58,353;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27848;bague;alliance;;YG;9;1,48;;0,120;48,50,52,54,56,58,354;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27852;bague;alliance;;YG;9;0,75;;0,010;48,50,52,54,56,58,355;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27854;bague;alliance;;YG;9;0,78;;0,030;48,50,52,54,56,58,356;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR27856;bague;alliance;;YG;9;1,30;;0,050;48,50,52,54,56,58,357;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28060;bague;alliance;;YG;9;1,90;;0,077;48,50,52,54,56,58,358;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28074;bague;alliance;;YG;9;2,51;;0,070;48,50,52,54,56,58,359;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28076;bague;alliance;;YG;9;2,10;;0,019;48,50,52,54,56,58,360;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28077;bague;alliance;;YG;9;2,35;;0,005;48,50,52,54,56,58,361;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28136;bague;alliance;;YG;9;1,08;;0,080;48,50,52,54,56,58,362;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28138;bague;alliance;;YG;9;1,55;;0,016;48,50,52,54,56,58,363;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28389;bague;alliance;;YG;9;1,55;;0,020;48,50,52,54,56,58,364;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28390;bague;alliance;;YG;9;1,35;;0,005;48,50,52,54,56,58,365;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28391;bague;alliance;;YG;9;1,30;;0,020;48,50,52,54,56,58,366;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28481;bague;alliance;;YG;9;1,60;;0,013;48,50,52,54,56,58,367;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28489;bague;alliance;;2T;9;1,60;;0,008;48,50,52,54,56,58,368;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28490;bague;alliance;;2T;9;1,60;;0,014;48,50,52,54,56,58,369;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28491;bague;alliance;;2T;9;1,92;;0,013;48,50,52,54,56,58,370;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28651;bague;alliance;;YG;9;3,21;;0,040;48,50,52,54,56,58,371;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28800;bague;alliance;;YG;9;1,60;;0,024;48,50,52,54,56,58,372;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28801;bague;alliance;;YG;9;1,50;;0,045;48,50,52,54,56,58,373;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28934;bague;alliance;;YG;9;1,55;;0,130;48,50,52,54,56,58,374;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28935;bague;alliance;;YG;9;1,20;;0,035;48,50,52,54,56,58,375;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR28936;bague;alliance;;YG;9;1,05;;0,035;48,50,52,54,56,58,376;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR29245;bague;alliance;;YG;9;3,20;;0,050;48,50,52,54,56,58,377;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR29248;bague;alliance;;YG;9;2,15;;0,081;48,50,52,54,56,58,378;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
AJR29249;bague;alliance;;YG;9;1,90;;0,038;48,50,52,54,56,58,379;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00167;bague;alliance;;YG;9;1,35;;0,030;48,50,52,54,56,58,380;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00194;bague;alliance;;YG;9;1,65;;0,056;48,50,52,54,56,58,381;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00205;bague;alliance;;YG;9;1,60;;0,030;48,50,52,54,56,58,382;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00572;bague;alliance;;YG;9;1,22;;0,090;48,50,52,54,56,58,383;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00579;bague;alliance;;YG;9;2,05;;0,100;48,50,52,54,56,58,384;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00582;bague;alliance;;YG;9;2,15;;0,160;48,50,52,54,56,58,385;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00583;bague;alliance;;YG;9;1,90;;0,038;48,50,52,54,56,58,386;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00587;bague;alliance;;YG;9;1,30;;0,008;48,50,52,54,56,58,387;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00590;bague;alliance;;YG;9;1,95;;0,110;48,50,52,54,56,58,388;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00688;bague;alliance;;YG;9;1,97;;0,068;48,50,52,54,56,58,389;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00695;bague;alliance;;YG;9;1,90;;0,009;48,50,52,54,56,58,390;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00696;bague;alliance;;YG;9;1,92;;0,200;48,50,52,54,56,58,391;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00697;bague;alliance;;YG;9;2,14;;0,014;48,50,52,54,56,58,392;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00944;bague;alliance;;YG;9;1,44;;0,016;48,50,52,54,56,58,393;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00952;bague;alliance;;YG;9;1,92;;0,009;48,50,52,54,56,58,394;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00964;bague;alliance;;YG;9;2,00;;0,020;48,50,52,54,56,58,395;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00965;bague;alliance;;YG;9;2,22;;0,008;48,50,52,54,56,58,396;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00971;bague;alliance;;YG;9;1,96;;0,028;48,50,52,54,56,58,397;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR00990;bague;alliance;;YG;9;1,64;;0,020;48,50,52,54,56,58,398;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01052;bague;alliance;;YG;9;1,58;;0,020;48,50,52,54,56,58,399;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01062;bague;alliance;;YG;9;1,80;;0,058;48,50,52,54,56,58,400;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01067;bague;alliance;;YG;9;2,20;;0,020;48,50,52,54,56,58,401;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01068;bague;alliance;;YG;9;2,20;;0,007;48,50,52,54,56,58,402;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01082;bague;alliance;;YG;9;2,10;;0,110;48,50,52,54,56,58,403;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01085;bague;alliance;;YG;9;1,62;;0,080;48,50,52,54,56,58,404;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01104;bague;alliance;;YG;9;2,03;;0,009;48,50,52,54,56,58,405;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01106;bague;alliance;;YG;9;1,75;;0,029;48,50,52,54,56,58,406;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01110;bague;alliance;;YG;9;1,70;;0,006;48,50,52,54,56,58,407;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01111;bague;alliance;;YG;9;1,48;;0,050;48,50,52,54,56,58,408;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01113;bague;alliance;;YG;9;2,07;;0,060;48,50,52,54,56,58,409;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01115;bague;alliance;;YG;9;1,66;;0,050;48,50,52,54,56,58,410;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01116;bague;alliance;;YG;9;1,50;;0,020;48,50,52,54,56,58,411;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01117;bague;alliance;;YG;9;1,62;;0,060;48,50,52,54,56,58,412;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01125;bague;alliance;;YG;9;1,12;;0,020;48,50,52,54,56,58,413;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01128;bague;alliance;;YG;9;1,02;;0,013;48,50,52,54,56,58,414;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01130;bague;alliance;;YG;9;1,15;;0,051;48,50,52,54,56,58,415;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01134;bague;alliance;;YG;9;1,60;;0,035;48,50,52,54,56,58,416;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01151;bague;alliance;;YG;9;2,35;;0,098;48,50,52,54,56,58,417;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01186;bague;alliance;;YG;9;0,90;;0,050;48,50,52,54,56,58,418;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01202;bague;alliance;;YG;9;1,20;;0,060;48,50,52,54,56,58,419;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01257;bague;alliance;;YG;9;1,22;;0,012;48,50,52,54,56,58,420;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01657;bague;alliance;;YG;9;2,02;;0,020;48,50,52,54,56,58,421;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01658;bague;alliance;;YG;9;1,75;;0,020;48,50,52,54,56,58,422;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
SAR01694;bague;alliance;;YG;9;1,70;;0,080;48,50,52,54,56,58,423;1,1,1,1,1,1,1;77;7;OUI;FIANCAILLE
